Sample description: EDF_DataBlockID                     0.Image.Psd
Sample: EDF_DataBlockID  c= 0 mg/ml  Code: 
Parent(s): /Users/andreashlarsen/Downloads/Group4_120824Afertnoon/merge_001.dat /Users/andreashlarsen/Downloads/Group4_120824Afertnoon/merge_002.dat
  7.419876e-02   3.727409e-02   1.436370e-03
  7.453835e-02   3.783648e-02   1.446596e-03
  7.487793e-02   3.757273e-02   1.471409e-03
  7.521751e-02   3.644041e-02   1.436412e-03
  7.555709e-02   3.563097e-02   1.390724e-03
  7.589668e-02   3.732134e-02   1.423462e-03
  7.623626e-02   3.793981e-02   1.407130e-03
  7.657584e-02   3.357672e-02   1.335405e-03
  7.691542e-02   3.641766e-02   1.383028e-03
  7.725501e-02   3.594134e-02   1.358702e-03
  7.759459e-02   3.136041e-02   1.280215e-03
  7.793417e-02   3.218560e-02   1.265454e-03
  7.827375e-02   3.368959e-02   1.331639e-03
  7.861334e-02   3.140141e-02   1.276011e-03
  7.895292e-02   3.019185e-02   1.259625e-03
  7.929250e-02   3.038689e-02   1.232462e-03
  7.963208e-02   3.032847e-02   1.227876e-03
  7.997167e-02   3.115909e-02   1.266950e-03
  8.031125e-02   3.114500e-02   1.233202e-03
  8.065083e-02   3.003256e-02   1.218467e-03
  8.099041e-02   2.855876e-02   1.189000e-03
  8.133000e-02   2.959079e-02   1.206163e-03
  8.166958e-02   2.775064e-02   1.188877e-03
  8.200916e-02   2.592235e-02   1.130037e-03
  8.234874e-02   2.771346e-02   1.167803e-03
  8.268833e-02   2.571106e-02   1.126813e-03
  8.302791e-02   2.631520e-02   1.129772e-03
  8.336749e-02   2.663188e-02   1.123406e-03
  8.370707e-02   2.457299e-02   1.059407e-03
  8.404665e-02   2.500338e-02   1.090930e-03
  8.438624e-02   2.659401e-02   1.110965e-03
  8.472582e-02   2.462006e-02   1.058525e-03
  8.506540e-02   2.478971e-02   1.084223e-03
  8.540498e-02   2.395461e-02   1.071840e-03
  8.574457e-02   2.258639e-02   1.051614e-03
  8.608415e-02   2.324767e-02   1.053877e-03
  8.642373e-02   2.136752e-02   1.019095e-03
  8.676331e-02   2.232621e-02   1.031754e-03
  8.710290e-02   2.057278e-02   9.818834e-04
  8.744248e-02   2.139658e-02   1.011619e-03
  8.778206e-02   2.017850e-02   9.484668e-04
  8.812164e-02   1.928754e-02   9.659405e-04
  8.846123e-02   2.037662e-02   9.612750e-04
  8.880081e-02   2.190388e-02   1.004680e-03
  8.914039e-02   2.043692e-02   9.518779e-04
  8.947997e-02   1.894044e-02   9.228577e-04
  8.981956e-02   1.886866e-02   9.280812e-04
  9.015914e-02   1.735978e-02   8.691829e-04
  9.049872e-02   1.794693e-02   8.953922e-04
  9.083830e-02   1.767158e-02   8.675229e-04
  9.117789e-02   1.648125e-02   8.622991e-04
  9.151747e-02   1.769662e-02   8.708436e-04
  9.185705e-02   1.853078e-02   8.785087e-04
  9.219663e-02   1.587279e-02   8.221833e-04
  9.253622e-02   1.565575e-02   8.167676e-04
  9.287580e-02   1.535460e-02   8.120955e-04
  9.321538e-02   1.591166e-02   8.492622e-04
  9.355496e-02   1.559392e-02   8.306761e-04
  9.389455e-02   1.579107e-02   8.140883e-04
  9.423413e-02   1.548632e-02   7.874917e-04
  9.457371e-02   1.549105e-02   8.108544e-04
  9.491329e-02   1.465590e-02   7.843308e-04
  9.525288e-02   1.398640e-02   7.686817e-04
  9.559246e-02   1.440794e-02   7.838476e-04
  9.593204e-02   1.262337e-02   7.282661e-04
  9.627162e-02   1.347347e-02   7.407520e-04
  9.661121e-02   1.252836e-02   7.264457e-04
  9.695079e-02   1.319404e-02   7.709718e-04
  9.729037e-02   1.155039e-02   7.114928e-04
  9.762995e-02   1.299563e-02   7.294427e-04
  9.796954e-02   1.295732e-02   7.279225e-04
  9.830912e-02   1.228589e-02   7.018705e-04
  9.864870e-02   1.179681e-02   7.088531e-04
  9.898828e-02   1.256519e-02   7.226250e-04
  9.932786e-02   1.254611e-02   6.971147e-04
  9.966745e-02   1.075837e-02   6.756132e-04
  1.000070e-01   1.160433e-02   6.969884e-04
  1.003466e-01   1.192910e-02   6.836519e-04
  1.006862e-01   1.097516e-02   6.554776e-04
  1.010258e-01   1.180387e-02   6.831590e-04
  1.013654e-01   1.095538e-02   7.030442e-04
  1.017049e-01   1.024832e-02   6.412616e-04
  1.020445e-01   1.054673e-02   6.465356e-04
  1.023841e-01   9.584254e-03   6.096514e-04
  1.027237e-01   1.078205e-02   6.544362e-04
  1.030633e-01   9.665588e-03   6.439625e-04
  1.034029e-01   9.290203e-03   6.425804e-04
  1.037424e-01   1.059151e-02   6.478604e-04
  1.040820e-01   8.532408e-03   5.794707e-04
  1.044216e-01   9.190155e-03   5.874301e-04
  1.047612e-01   8.672100e-03   5.970990e-04
  1.051008e-01   8.526198e-03   5.724939e-04
  1.054403e-01   8.544171e-03   5.559192e-04
  1.057799e-01   8.363690e-03   5.613360e-04
  1.061195e-01   8.469329e-03   5.531022e-04
  1.064591e-01   9.226949e-03   5.857514e-04
  1.067987e-01   7.413939e-03   5.441134e-04
  1.071383e-01   8.982989e-03   5.849628e-04
  1.074778e-01   7.304544e-03   5.314953e-04
  1.078174e-01   6.957995e-03   5.607680e-04
  1.081570e-01   5.970593e-03   4.894341e-04
  1.084966e-01   6.926761e-03   5.317886e-04
  1.088362e-01   6.068838e-03   5.151320e-04
  1.091758e-01   6.960307e-03   5.277914e-04
  1.095153e-01   6.474487e-03   5.013916e-04
  1.098549e-01   6.169122e-03   4.741716e-04
  1.101945e-01   6.926581e-03   5.192988e-04
  1.105341e-01   7.232265e-03   5.105046e-04
  1.108737e-01   6.448310e-03   4.960044e-04
  1.112133e-01   6.027107e-03   4.875720e-04
  1.115528e-01   6.866192e-03   5.105811e-04
  1.118924e-01   5.496914e-03   4.731513e-04
  1.122320e-01   5.533323e-03   4.726567e-04
  1.125716e-01   5.394163e-03   4.759898e-04
  1.129112e-01   5.509964e-03   5.006802e-04
  1.132507e-01   5.884762e-03   4.947486e-04
  1.135903e-01   5.211688e-03   4.667014e-04
  1.139299e-01   5.547931e-03   4.799671e-04
  1.142695e-01   5.705742e-03   4.952115e-04
  1.146091e-01   5.269818e-03   4.236586e-04
  1.149487e-01   5.489595e-03   4.320028e-04
  1.152882e-01   5.042771e-03   4.317422e-04
  1.156278e-01   5.509452e-03   4.449202e-04
  1.159674e-01   5.201553e-03   4.880910e-04
  1.163070e-01   5.044275e-03   4.178254e-04
  1.166466e-01   5.228568e-03   4.634522e-04
  1.169862e-01   5.105803e-03   4.395795e-04
  1.173257e-01   3.752604e-03   4.147047e-04
  1.176653e-01   4.168615e-03   4.113952e-04
  1.180049e-01   4.398872e-03   4.192043e-04
  1.183445e-01   3.977877e-03   4.176767e-04
  1.186841e-01   3.580888e-03   4.464642e-04
  1.190236e-01   3.427571e-03   4.045552e-04
  1.193632e-01   3.702479e-03   4.072634e-04
  1.197028e-01   3.600017e-03   3.762146e-04
  1.200424e-01   3.265282e-03   3.988347e-04
  1.203820e-01   3.207227e-03   3.564882e-04
  1.207216e-01   4.089761e-03   4.187897e-04
  1.210611e-01   3.532425e-03   3.919400e-04
  1.214007e-01   3.064664e-03   3.983905e-04
  1.217403e-01   3.127591e-03   3.906075e-04
  1.220799e-01   3.701372e-03   4.036704e-04
  1.224195e-01   3.446630e-03   3.775719e-04
  1.227591e-01   3.332387e-03   3.944354e-04
  1.230986e-01   3.094428e-03   3.849145e-04
  1.234382e-01   3.524875e-03   4.042010e-04
  1.237778e-01   3.640645e-03   3.906298e-04
  1.241174e-01   3.287295e-03   3.963142e-04
  1.244570e-01   3.843143e-03   3.915199e-04
  1.247965e-01   2.111082e-03   3.669337e-04
  1.251361e-01   2.785779e-03   3.618119e-04
  1.254757e-01   3.186771e-03   3.677516e-04
  1.258153e-01   2.600376e-03   3.326484e-04
  1.261549e-01   2.639425e-03   3.429998e-04
  1.264945e-01   2.369195e-03   3.189654e-04
  1.268340e-01   2.297008e-03   3.552478e-04
  1.271736e-01   2.477065e-03   3.954622e-04
  1.275132e-01   1.444302e-03   4.606696e-04
  1.278528e-01   2.435630e-03   4.236165e-04
  1.281924e-01   2.857283e-03   3.840422e-04
  1.285320e-01   2.365601e-03   3.561958e-04
  1.288715e-01   2.592880e-03   3.937156e-04
  1.292111e-01   2.103342e-03   3.557665e-04
  1.295507e-01   2.296708e-03   3.613000e-04
  1.298903e-01   2.912467e-03   3.571537e-04
  1.302299e-01   2.506118e-03   3.515561e-04
  1.305694e-01   2.167979e-03   3.305222e-04
  1.309090e-01   2.535144e-03   3.420656e-04
  1.312486e-01   2.235231e-03   3.024328e-04
  1.315882e-01   2.072896e-03   3.242186e-04
  1.319278e-01   2.368915e-03   2.916556e-04
