
           ####      G N O M             Version 5.0 (r12736)      ####
                                               Tue Aug 17 08:24:30 2021

           ####      Configuration                                 ####

    System Type:                   arbitrary monodisperse (job = 0)
    Minimum characteristic size:         0.0000
    Maximum characteristic size:        49.5000
    rad56:                               0.0000
    Force 0.0 at r = rmin:                  yes
    Force 0.0 at r = rmax:                  yes
    Initial alpha:                       0.0000
    Initial random seed:      50819837458648960
    Points in real space:                   221

    Input  1:                      F:/HR-LYS/dat/alys_0.9.dat
    First data point used:                    1
    Last data point used:                   222
    Scaling coefficient:             0.1000E+01
    Experimental setup:            point collimation



           ####      Results                                       ####

    Parameter    DISCRP  OSCILL  STABIL  SYSDEV  POSITV  VALCEN  SMOOTH
    Weight        1.000   3.000   3.000   3.000   1.000   1.000   1.000
    Sigma         0.300   0.600   0.120   0.120   0.120   0.120   0.600
    Ideal         0.700   1.100   0.000   1.000   1.000   0.950   0.000
    Current       0.708   1.446   0.030   0.371   1.000   0.928   0.140
               --------------------------------------------------------
    Estimate      0.999   0.717   0.940   0.000   1.000   0.966   0.947

    Angular range:                       0.0080 to       1.7200
    Reciprocal space Rg:             0.1456E+02
    Reciprocal space I(0):           0.4279E+02

    Real space range:                    0.0000 to      49.5000
    Real space Rg:                   0.1456E+02 +-   0.1072E+00
    Real space I(0):                 0.4279E+02 +-   0.1911E+00

    Highest ALPHA (theor):           0.4685E+03
    Current ALPHA:                   0.5186E+02

    Total Estimate:                      0.6835 (a REASONABLE solution)



           ####      Experimental Data and Fit                     ####

      S          J EXP       ERROR       J REG       I REG
   0.240000E+00   0.808680E+00   0.957700E-01   0.949010E+00   0.949010E+00
   0.245000E+00   0.778430E+00   0.936400E-01   0.873891E+00   0.873891E+00
   0.250000E+00   0.740390E+00   0.809500E-01   0.814422E+00   0.814422E+00
   0.255000E+00   0.709510E+00   0.861400E-01   0.768344E+00   0.768344E+00
   0.260000E+00   0.609570E+00   0.105050E+00   0.733597E+00   0.733597E+00
   0.265000E+00   0.611240E+00   0.989400E-01   0.708308E+00   0.708308E+00
   0.270000E+00   0.617450E+00   0.123840E+00   0.690816E+00   0.690816E+00
   0.275000E+00   0.620770E+00   0.115750E+00   0.679601E+00   0.679601E+00
   0.280000E+00   0.603940E+00   0.158290E+00   0.673338E+00   0.673338E+00
   0.285000E+00   0.632490E+00   0.152830E+00   0.670857E+00   0.670857E+00
   0.290000E+00   0.681480E+00   0.845700E-01   0.671135E+00   0.671135E+00
   0.295000E+00   0.667590E+00   0.121230E+00   0.673293E+00   0.673293E+00
   0.300000E+00   0.683920E+00   0.782600E-01   0.676577E+00   0.676577E+00
   0.305000E+00   0.654500E+00   0.752400E-01   0.680353E+00   0.680353E+00
   0.310000E+00   0.693380E+00   0.973100E-01   0.684093E+00   0.684093E+00
   0.315000E+00   0.714770E+00   0.106550E+00   0.687373E+00   0.687373E+00
   0.320000E+00   0.731730E+00   0.119980E+00   0.689856E+00   0.689856E+00
   0.325000E+00   0.705420E+00   0.213970E+00   0.691285E+00   0.691285E+00
   0.330000E+00   0.687550E+00   0.132410E+00   0.691475E+00   0.691475E+00
   0.335000E+00   0.713180E+00   0.390780E+00   0.690307E+00   0.690307E+00
   0.340000E+00   0.703410E+00   0.894400E-01   0.687708E+00   0.687708E+00
   0.345000E+00   0.690210E+00   0.139030E+00   0.683683E+00   0.683683E+00
   0.350000E+00   0.691730E+00   0.104100E+00   0.678238E+00   0.678238E+00
   0.355000E+00   0.684550E+00   0.843000E-01   0.671435E+00   0.671435E+00
   0.360000E+00   0.683650E+00   0.102050E+00   0.663365E+00   0.663365E+00
   0.365000E+00   0.690270E+00   0.834700E-01   0.654136E+00   0.654136E+00
   0.370000E+00   0.676410E+00   0.796500E-01   0.643873E+00   0.643873E+00
   0.375000E+00   0.668270E+00   0.665000E-01   0.632715E+00   0.632715E+00
   0.380000E+00   0.670460E+00   0.664000E-01   0.620795E+00   0.620795E+00
   0.385000E+00   0.646080E+00   0.678000E-01   0.608287E+00   0.608287E+00
   0.390000E+00   0.640270E+00   0.631700E-01   0.595313E+00   0.595313E+00
   0.395000E+00   0.612250E+00   0.769200E-01   0.582022E+00   0.582022E+00
   0.400000E+00   0.595910E+00   0.156520E+00   0.568552E+00   0.568552E+00
   0.405000E+00   0.566690E+00   0.699400E-01   0.555030E+00   0.555030E+00
   0.410000E+00   0.556530E+00   0.613000E-01   0.541577E+00   0.541577E+00
   0.415000E+00   0.544270E+00   0.155450E+00   0.528301E+00   0.528301E+00
   0.420000E+00   0.526510E+00   0.927400E-01   0.515299E+00   0.515299E+00
   0.425000E+00   0.525630E+00   0.625400E-01   0.502659E+00   0.502659E+00
   0.430000E+00   0.462480E+00   0.849700E-01   0.490456E+00   0.490456E+00
   0.435000E+00   0.428450E+00   0.867600E-01   0.478756E+00   0.478756E+00
   0.440000E+00   0.452160E+00   0.123770E+00   0.467607E+00   0.467607E+00
   0.445000E+00   0.451330E+00   0.126570E+00   0.457059E+00   0.457059E+00
   0.450000E+00   0.421010E+00   0.873500E-01   0.447145E+00   0.447145E+00
   0.455000E+00   0.362720E+00   0.648800E-01   0.437904E+00   0.437904E+00
   0.460000E+00   0.367790E+00   0.739800E-01   0.429318E+00   0.429318E+00
   0.465000E+00   0.362850E+00   0.111920E+00   0.421434E+00   0.421434E+00
