Sample description: DMPC_25
Sample: DMPC_25  c= 1 mg/ml  Code: DMPC_25_water
Parent(s): analysis/processed/subtracted/DMPC_25_water_0097_sub.dat
  7.351660e-01   8.625682e+01   2.761670e+00
  7.379250e-01   8.699921e+01   2.807092e+00
  7.406840e-01   8.841564e+01   2.770996e+00
  7.434440e-01   9.442169e+01   2.804711e+00
  7.462030e-01   9.420688e+01   2.791399e+00
  7.489620e-01   9.407327e+01   2.760547e+00
  7.517220e-01   9.531280e+01   2.810243e+00
  7.544810e-01   9.150704e+01   2.771599e+00
  7.572400e-01   9.504230e+01   2.794474e+00
  7.599990e-01   1.013334e+02   2.780146e+00
  7.627590e-01   9.997112e+01   2.811506e+00
  7.655180e-01   1.043137e+02   2.816452e+00
  7.682770e-01   9.976103e+01   2.787165e+00
  7.710370e-01   1.013399e+02   2.783840e+00
  7.737960e-01   9.758776e+01   2.755552e+00
  7.765550e-01   1.028973e+02   2.789682e+00
  7.793140e-01   1.073370e+02   2.831252e+00
  7.820740e-01   1.043400e+02   2.759171e+00
  7.848330e-01   1.068474e+02   2.822884e+00
  7.875920e-01   1.097985e+02   2.781219e+00
  7.903510e-01   1.050857e+02   2.780553e+00
  7.931110e-01   1.074536e+02   2.781373e+00
  7.958700e-01   1.115628e+02   2.818756e+00
  7.986290e-01   1.151436e+02   2.900880e+00
  8.013890e-01   1.088264e+02   2.867938e+00
  8.041480e-01   1.152862e+02   2.930028e+00
  8.069070e-01   1.097139e+02   2.913970e+00
  8.096660e-01   1.072252e+02   2.928960e+00
  8.124260e-01   1.165637e+02   2.971061e+00
  8.151850e-01   1.146882e+02   2.930665e+00
  8.179440e-01   1.169412e+02   3.018098e+00
  8.207030e-01   1.205809e+02   3.005532e+00
  8.234630e-01   1.176385e+02   3.031156e+00
  8.262220e-01   1.114699e+02   2.993915e+00
  8.289810e-01   1.169808e+02   2.999317e+00
  8.317410e-01   1.192301e+02   3.074233e+00
  8.345000e-01   1.205113e+02   3.027797e+00
  8.372590e-01   1.137381e+02   3.064333e+00
  8.400180e-01   1.234845e+02   3.055863e+00
  8.427780e-01   1.200597e+02   3.057006e+00
  8.455370e-01   1.279444e+02   3.061493e+00
  8.482960e-01   1.254260e+02   2.970575e+00
  8.510550e-01   1.255621e+02   2.991419e+00
  8.538150e-01   1.285527e+02   2.952876e+00
  8.565740e-01   1.279159e+02   2.969249e+00
  8.593330e-01   1.305198e+02   2.950239e+00
  8.620930e-01   1.320422e+02   2.919552e+00
  8.648520e-01   1.335087e+02   2.952621e+00
  8.676110e-01   1.328053e+02   2.940324e+00
  8.703700e-01   1.378436e+02   2.928680e+00
  8.731300e-01   1.333618e+02   2.910926e+00
  8.758890e-01   1.352982e+02   2.906609e+00
  8.786480e-01   1.369614e+02   2.956992e+00
  8.814070e-01   1.304420e+02   2.848802e+00
  8.841670e-01   1.377930e+02   2.911116e+00
  8.869260e-01   1.373347e+02   2.883750e+00
  8.896850e-01   1.383811e+02   2.900206e+00
  8.924450e-01   1.374242e+02   2.909535e+00
  8.952040e-01   1.351226e+02   2.858499e+00
  8.979630e-01   1.369103e+02   2.895918e+00
  9.007220e-01   1.426510e+02   2.895478e+00
  9.034820e-01   1.372030e+02   2.918822e+00
  9.062410e-01   1.404737e+02   2.953872e+00
  9.090000e-01   1.442842e+02   3.008932e+00
  9.117590e-01   1.428842e+02   3.032128e+00
  9.145190e-01   1.446856e+02   3.015967e+00
  9.172780e-01   1.448259e+02   3.053134e+00
  9.200370e-01   1.415755e+02   3.048729e+00
  9.227970e-01   1.555156e+02   3.066577e+00
  9.255560e-01   1.488698e+02   3.003006e+00
  9.283150e-01   1.436749e+02   2.908780e+00
  9.310740e-01   1.496437e+02   2.948357e+00
  9.338340e-01   1.514721e+02   2.923110e+00
  9.365930e-01   1.526914e+02   2.934795e+00
  9.393520e-01   1.516117e+02   2.902524e+00
  9.421110e-01   1.482793e+02   2.870213e+00
  9.448710e-01   1.521786e+02   2.902762e+00
  9.476300e-01   1.551358e+02   2.897181e+00
  9.503890e-01   1.573096e+02   2.914979e+00
  9.531490e-01   1.515875e+02   2.888083e+00
  9.559080e-01   1.508106e+02   2.880413e+00
  9.586670e-01   1.536828e+02   2.924251e+00
  9.614260e-01   1.508979e+02   2.858133e+00
  9.641860e-01   1.548945e+02   2.887670e+00
  9.669450e-01   1.566554e+02   2.871871e+00
  9.697040e-01   1.597679e+02   2.889721e+00
  9.724630e-01   1.604963e+02   2.894734e+00
  9.752230e-01   1.591123e+02   2.832581e+00
  9.779820e-01   1.627027e+02   2.866907e+00
  9.807410e-01   1.626176e+02   2.843330e+00
  9.835010e-01   1.611906e+02   2.869424e+00
  9.862600e-01   1.623749e+02   2.846163e+00
  9.890190e-01   1.570064e+02   2.848752e+00
  9.917780e-01   1.584979e+02   2.848011e+00
  9.945380e-01   1.671628e+02   2.840192e+00
  9.972970e-01   1.641197e+02   2.836283e+00
  1.000060e+00   1.618447e+02   2.822753e+00
  1.002820e+00   1.638212e+02   2.829655e+00
  1.005570e+00   1.675675e+02   2.863094e+00
  1.008330e+00   1.676640e+02   2.834223e+00
  1.011090e+00   1.656559e+02   2.845273e+00
  1.013850e+00   1.707373e+02   2.815207e+00
  1.016610e+00   1.671968e+02   2.836543e+00
  1.019370e+00   1.650240e+02   2.815193e+00
  1.022130e+00   1.714504e+02   2.833166e+00
  1.024890e+00   1.692457e+02   2.831760e+00
  1.027650e+00   1.640750e+02   2.793717e+00
  1.030410e+00   1.751901e+02   2.862644e+00
  1.033170e+00   1.679751e+02   2.782640e+00
  1.035930e+00   1.734603e+02   2.826112e+00
  1.038690e+00   1.713329e+02   2.817464e+00
  1.041450e+00   1.747276e+02   2.811382e+00
  1.044200e+00   1.723556e+02   2.829818e+00
  1.046960e+00   1.747614e+02   2.796173e+00
  1.049720e+00   1.754018e+02   2.815885e+00
  1.052480e+00   1.742283e+02   2.826411e+00
  1.055240e+00   1.803614e+02   2.799234e+00
  1.058000e+00   1.807910e+02   2.839114e+00
  1.060760e+00   1.745983e+02   2.782859e+00
  1.063520e+00   1.763469e+02   2.800902e+00
  1.066280e+00   1.772850e+02   2.801394e+00
  1.069040e+00   1.759173e+02   2.775494e+00
  1.071800e+00   1.822276e+02   2.833288e+00
  1.074560e+00   1.801511e+02   2.779213e+00
  1.077320e+00   1.770223e+02   2.814421e+00
  1.080080e+00   1.706541e+02   2.756869e+00
  1.082830e+00   1.835911e+02   2.794727e+00
  1.085590e+00   1.784179e+02   2.790369e+00
  1.088350e+00   1.830599e+02   2.778908e+00
  1.091110e+00   1.787957e+02   2.802372e+00
  1.093870e+00   1.831818e+02   2.781052e+00
  1.096630e+00   1.838276e+02   2.802797e+00
  1.099390e+00   1.834356e+02   2.787019e+00
  1.102150e+00   1.818845e+02   2.760710e+00
  1.104910e+00   1.873544e+02   2.788690e+00
  1.107670e+00   1.826881e+02   2.761302e+00
  1.110430e+00   1.828317e+02   2.772882e+00
  1.113190e+00   1.851292e+02   2.779629e+00
  1.115950e+00   1.865382e+02   2.779649e+00
  1.118710e+00   1.853180e+02   2.772178e+00
  1.121460e+00   1.799347e+02   2.736272e+00
  1.124220e+00   1.860939e+02   2.767993e+00
  1.126980e+00   1.897426e+02   2.779927e+00
  1.129740e+00   1.873211e+02   2.773468e+00
  1.132500e+00   1.872547e+02   2.760513e+00
  1.135260e+00   1.875629e+02   2.751320e+00
  1.138020e+00   1.867934e+02   2.745866e+00
  1.140780e+00   1.901447e+02   2.768780e+00
  1.143540e+00   1.940569e+02   2.777609e+00
  1.146300e+00   1.895262e+02   2.774828e+00
  1.149060e+00   1.905931e+02   2.739398e+00
  1.151820e+00   1.907450e+02   2.738068e+00
  1.154580e+00   1.903336e+02   2.743203e+00
  1.157330e+00   1.873049e+02   2.747986e+00
  1.160090e+00   1.933184e+02   2.765524e+00
  1.162850e+00   1.900738e+02   2.740686e+00
  1.165610e+00   1.906324e+02   2.733626e+00
  1.168370e+00   1.912660e+02   2.743634e+00
  1.171130e+00   1.916945e+02   2.743359e+00
  1.173890e+00   1.922998e+02   2.721211e+00
  1.176650e+00   1.944580e+02   2.751368e+00
  1.179410e+00   1.889198e+02   2.714443e+00
  1.182170e+00   1.920396e+02   2.726738e+00
  1.184930e+00   1.931003e+02   2.728570e+00
  1.187690e+00   1.925673e+02   2.719720e+00
  1.190450e+00   1.932002e+02   2.725990e+00
  1.193210e+00   1.891333e+02   2.710708e+00
  1.195960e+00   1.939935e+02   2.710114e+00
  1.198720e+00   1.946972e+02   2.732013e+00
  1.201480e+00   1.986984e+02   2.682188e+00
  1.204240e+00   1.948324e+02   2.708115e+00
  1.207000e+00   1.934022e+02   2.688240e+00
  1.209760e+00   1.926051e+02   2.716496e+00
  1.212520e+00   2.019977e+02   2.689532e+00
  1.215280e+00   1.939556e+02   2.680608e+00
  1.218040e+00   1.951610e+02   2.696534e+00
  1.220800e+00   1.958577e+02   2.649320e+00
  1.223560e+00   1.955887e+02   2.688473e+00
  1.226320e+00   1.955076e+02   2.683430e+00
  1.229080e+00   1.916749e+02   2.671167e+00
  1.231840e+00   1.897029e+02   2.668090e+00
  1.234590e+00   1.954901e+02   2.647691e+00
  1.237350e+00   1.965606e+02   2.676756e+00
  1.240110e+00   1.972995e+02   2.668698e+00
  1.242870e+00   1.951555e+02   2.649248e+00
  1.245630e+00   1.961848e+02   2.690517e+00
  1.248390e+00   1.912388e+02   2.634423e+00
  1.251150e+00   1.950449e+02   2.656444e+00
  1.253910e+00   1.960465e+02   2.653943e+00
  1.256670e+00   1.930116e+02   2.660571e+00
  1.259430e+00   1.937876e+02   2.651112e+00
  1.262190e+00   1.951257e+02   2.642608e+00
  1.264950e+00   1.972194e+02   2.666762e+00
  1.267710e+00   1.997624e+02   2.626073e+00
  1.270470e+00   1.921564e+02   2.625311e+00
  1.273220e+00   1.942865e+02   2.640145e+00
  1.275980e+00   2.038570e+02   2.662279e+00
  1.278740e+00   1.966422e+02   2.649700e+00
  1.281500e+00   1.933914e+02   2.615407e+00
  1.284260e+00   1.946677e+02   2.621064e+00
  1.287020e+00   1.922568e+02   2.608844e+00
  1.289780e+00   1.980444e+02   2.617998e+00
  1.292540e+00   1.982126e+02   2.639572e+00
  1.295300e+00   1.950547e+02   2.619487e+00
  1.298060e+00   1.977901e+02   2.627013e+00
  1.300820e+00   1.987855e+02   2.622390e+00
  1.303580e+00   1.913784e+02   2.593666e+00
  1.306340e+00   1.982310e+02   2.595227e+00
  1.309090e+00   1.964952e+02   2.599323e+00
  1.311850e+00   1.913901e+02   2.624591e+00
  1.314610e+00   1.969392e+02   2.591911e+00
  1.317370e+00   1.952530e+02   2.601702e+00
  1.320130e+00   1.984291e+02   2.577054e+00
  1.322890e+00   1.963127e+02   2.610764e+00
  1.325650e+00   1.892672e+02   2.582182e+00
  1.328410e+00   1.970012e+02   2.575113e+00
  1.331170e+00   1.900489e+02   2.574847e+00
  1.333930e+00   1.959335e+02   2.578003e+00
  1.336690e+00   1.930157e+02   2.580764e+00
  1.339450e+00   1.919621e+02   2.557005e+00
  1.342210e+00   1.926528e+02   2.552013e+00
  1.344970e+00   1.977002e+02   2.599893e+00
  1.347720e+00   1.950943e+02   2.548734e+00
  1.350480e+00   1.936410e+02   2.570574e+00
  1.353240e+00   1.937586e+02   2.540676e+00
  1.356000e+00   1.927353e+02   2.553551e+00
  1.358760e+00   1.908046e+02   2.563657e+00
  1.361520e+00   1.921035e+02   2.526528e+00
  1.364280e+00   1.924390e+02   2.553063e+00
  1.367040e+00   1.940997e+02   2.538231e+00
  1.369800e+00   1.953627e+02   2.548710e+00
  1.372560e+00   1.951584e+02   2.554028e+00
  1.375320e+00   1.946265e+02   2.529178e+00
  1.378080e+00   1.953219e+02   2.547325e+00
  1.380840e+00   1.917091e+02   2.546608e+00
  1.383600e+00   1.912178e+02   2.575443e+00
  1.386350e+00   1.904890e+02   2.609869e+00
  1.389110e+00   1.949661e+02   2.602296e+00
  1.391870e+00   1.823569e+02   2.630916e+00
  1.394630e+00   1.942121e+02   2.634357e+00
  1.397390e+00   1.928040e+02   2.666298e+00
  1.400150e+00   1.898564e+02   2.633729e+00
  1.402910e+00   1.896079e+02   2.676723e+00
  1.405670e+00   1.920362e+02   2.690567e+00
  1.408430e+00   1.939169e+02   2.674619e+00
  1.411190e+00   1.887383e+02   2.688240e+00
  1.413950e+00   1.905229e+02   2.683927e+00
  1.416710e+00   1.876920e+02   2.713128e+00
  1.419470e+00   1.915050e+02   2.688703e+00
  1.422230e+00   1.908037e+02   2.715222e+00
  1.424980e+00   1.897292e+02   2.721532e+00
  1.427740e+00   1.886986e+02   2.692702e+00
  1.430500e+00   1.916584e+02   2.672938e+00
  1.433260e+00   1.937648e+02   2.647070e+00
  1.436020e+00   1.913147e+02   2.630621e+00
  1.438780e+00   1.913491e+02   2.634027e+00
  1.441540e+00   1.837937e+02   2.572511e+00
  1.444300e+00   1.863006e+02   2.591323e+00
  1.447060e+00   1.860082e+02   2.557805e+00
  1.449820e+00   1.888781e+02   2.591012e+00
  1.452580e+00   1.871783e+02   2.570825e+00
  1.455340e+00   1.896123e+02   2.561983e+00
  1.458100e+00   1.848627e+02   2.548556e+00
  1.460850e+00   1.886715e+02   2.538590e+00
  1.463610e+00   1.827617e+02   2.545529e+00
  1.466370e+00   1.889968e+02   2.528731e+00
  1.469130e+00   1.856253e+02   2.522767e+00
  1.471890e+00   1.869995e+02   2.542630e+00
  1.474650e+00   1.856123e+02   2.510431e+00
  1.477410e+00   1.900799e+02   2.524590e+00
  1.480170e+00   1.855830e+02   2.491293e+00
  1.482930e+00   1.858612e+02   2.509824e+00
  1.485690e+00   1.847334e+02   2.506936e+00
  1.488450e+00   1.882784e+02   2.495520e+00
  1.491210e+00   1.834762e+02   2.501261e+00
  1.493970e+00   1.871178e+02   2.462307e+00
  1.496730e+00   1.862093e+02   2.507890e+00
  1.499480e+00   1.837210e+02   2.484803e+00
  1.502240e+00   1.818119e+02   2.484091e+00
  1.505000e+00   1.837157e+02   2.478784e+00
  1.507760e+00   1.782814e+02   2.443458e+00
  1.510520e+00   1.849781e+02   2.486628e+00
  1.513280e+00   1.803849e+02   2.447331e+00
  1.516040e+00   1.858822e+02   2.462680e+00
  1.518800e+00   1.827674e+02   2.474019e+00
  1.521560e+00   1.799082e+02   2.436371e+00
  1.524320e+00   1.812139e+02   2.467827e+00
  1.527080e+00   1.804846e+02   2.423030e+00
  1.529840e+00   1.789065e+02   2.433028e+00
  1.532600e+00   1.764614e+02   2.434864e+00
  1.535360e+00   1.771580e+02   2.418333e+00
  1.538110e+00   1.739685e+02   2.438393e+00
  1.540870e+00   1.797910e+02   2.404769e+00
  1.543630e+00   1.764017e+02   2.419373e+00
  1.546390e+00   1.757814e+02   2.405417e+00
  1.549150e+00   1.735520e+02   2.398608e+00
  1.551910e+00   1.791649e+02   2.436213e+00
  1.554670e+00   1.716890e+02   2.388561e+00
  1.557430e+00   1.764973e+02   2.404103e+00
  1.560190e+00   1.732973e+02   2.377846e+00
  1.562950e+00   1.729382e+02   2.390701e+00
  1.565710e+00   1.754314e+02   2.395099e+00
  1.568470e+00   1.734502e+02   2.382500e+00
  1.571230e+00   1.783986e+02   2.392160e+00
