Sample description: DMPC_25_200
Sample: DMPC_25_200  c= 1 mg/ml  Code: DMPC_25_200_water
Parent(s): analysis/processed/subtracted/DMPC_25_200_water_0432_sub.dat
  5.613320e-01   1.644454e+01   2.349151e+00
  5.640910e-01   2.042818e+01   2.384483e+00
  5.668500e-01   1.747373e+01   2.374227e+00
  5.696100e-01   1.360531e+01   2.314921e+00
  5.723690e-01   1.283392e+01   2.368474e+00
  5.751280e-01   1.740680e+01   2.333728e+00
  5.778870e-01   1.948513e+01   2.364049e+00
  5.806470e-01   1.680176e+01   2.328048e+00
  5.834060e-01   1.824926e+01   2.335742e+00
  5.861650e-01   2.201574e+01   2.369999e+00
  5.889240e-01   1.644210e+01   2.326578e+00
  5.916840e-01   2.095825e+01   2.341811e+00
  5.944430e-01   1.857160e+01   2.325524e+00
  5.972020e-01   2.371159e+01   2.369669e+00
  5.999620e-01   2.017115e+01   2.331045e+00
  6.027210e-01   1.941809e+01   2.335345e+00
  6.054800e-01   2.074584e+01   2.322728e+00
  6.082390e-01   2.631105e+01   2.337913e+00
  6.109990e-01   2.542886e+01   2.347756e+00
  6.137580e-01   2.425934e+01   2.316957e+00
  6.165170e-01   2.274345e+01   2.306874e+00
  6.192760e-01   2.481299e+01   2.314872e+00
  6.220360e-01   2.377307e+01   2.330492e+00
  6.247950e-01   2.395060e+01   2.330095e+00
  6.275540e-01   2.270102e+01   2.295869e+00
  6.303140e-01   2.814395e+01   2.324450e+00
  6.330730e-01   2.639502e+01   2.333310e+00
  6.358320e-01   3.058924e+01   2.308992e+00
  6.385910e-01   2.791252e+01   2.307639e+00
  6.413510e-01   2.577265e+01   2.294198e+00
  6.441100e-01   2.950428e+01   2.335868e+00
  6.468690e-01   2.920578e+01   2.308039e+00
  6.496280e-01   3.518455e+01   2.312393e+00
  6.523880e-01   2.948910e+01   2.317678e+00
  6.551470e-01   3.000570e+01   2.287314e+00
  6.579060e-01   3.244769e+01   2.318413e+00
  6.606660e-01   3.224686e+01   2.295660e+00
  6.634250e-01   3.222468e+01   2.295053e+00
  6.661840e-01   3.081377e+01   2.329300e+00
