 q(Å⁻¹) Intensity(abs.units*thickness) sigma(abs.units*thickness) 
0.193082 0.00952927652 0.000313072297 
0.193826 0.00936374634 0.000305103856 
0.194570 0.00941273279 0.000308124337 
0.195314 0.00982951679 0.000314114792 
0.196058 0.00905121107 0.000305892267 
0.196802 0.00946528105 0.000312814978 
0.197546 0.00957761582 0.000309329689 
0.198290 0.00905034832 0.000301424053 
0.199034 0.00932398559 0.000306692725 
0.199778 0.00854792315 0.000297285948 
0.200522 0.00884727094 0.000300218527 
0.201267 0.00827553699 0.000289650942 
0.202011 0.00825786181 0.000292210244 
0.202755 0.00839945353 0.000293253374 
0.203499 0.00835091626 0.000290271864 
0.204243 0.0083049279 0.000289475512 
0.204987 0.00791248842 0.000285341123 
0.205731 0.00843549676 0.000294624685 
0.206475 0.00777508959 0.000281470651 
0.207219 0.00813096684 0.000287141354 
0.207963 0.0076557934 0.000281387454 
0.208707 0.00708397015 0.000270678666 
0.209451 0.00782932871 0.000281776748 
0.210195 0.00728579237 0.000274515154 
0.210939 0.00676164875 0.000264460214 
0.211683 0.00715893492 0.000269454563 
0.212427 0.00748388385 0.000277544317 
0.213171 0.00709779791 0.000269627712 
0.213915 0.00713851135 0.000273107882 
0.214660 0.00700587715 0.000269213218 
0.215404 0.00676347081 0.000263863036 
0.216148 0.00708761203 0.000269449696 
0.216892 0.00732061724 0.00027452397 
0.217636 0.006997596 0.000269741569 
0.218380 0.00693831079 0.000269274417 
0.219124 0.00647149744 0.000256228027 
0.219868 0.00649448677 0.000257947941 
0.220612 0.00656051997 0.000261197041 
0.221356 0.00725039093 0.00027528003 
0.222100 0.00751244283 0.000278126196 
0.222844 0.00794844328 0.000286798269 
0.223588 0.0093021404 0.000314197974 
0.224332 0.0109480786 0.000334940305 
0.225076 0.0120151777 0.000350889361 
0.225820 0.0131293097 0.000372346708 
0.226564 0.0118260896 0.000348127912 
0.227308 0.0104533295 0.000330577831 
0.228052 0.0094363442 0.00031174953 
0.228797 0.0073209527 0.000274596151 
0.229541 0.00678427136 0.000267677276 
0.230285 0.0065921923 0.000263197639 
0.231029 0.0068468989 0.000264914269 
0.231773 0.00594169198 0.000249882394 
0.232517 0.00649585481 0.000258679759 
0.233261 0.00662787219 0.000265268567 
0.234005 0.00604930291 0.000249637924 
0.234749 0.00600021476 0.000251762353 
0.235493 0.0061505008 0.000259552843 
0.236237 0.00602591348 0.000256914627 
0.236981 0.00652548642 0.000266655724 
0.237725 0.00543356615 0.000247243425 
0.238469 0.00601031461 0.000260744293 
0.239213 0.00608590176 0.000266768498 
0.239957 0.00608297012 0.000266708463 
0.240701 0.00765266911 0.000298315548 
0.241445 0.00838006296 0.000316629965 
0.242189 0.00994640885 0.00034899462 
0.242934 0.0113310929 0.00036819554 
0.243678 0.0136798868 0.000412959565 
0.244422 0.0126413277 0.000400595475 
0.245166 0.0086249336 0.000329894147 
0.245910 0.00646949264 0.000287466409 
0.246654 0.00639783711 0.000282430303 
0.247398 0.00628004944 0.000279823053 
0.248142 0.0059326887 0.000274455079 
0.248886 0.00576288977 0.000268062816 
0.249630 0.00544143711 0.00025666968 
0.250374 0.00566571543 0.000260400685 
0.251118 0.00496857952 0.000245272337 
0.251862 0.00524562752 0.000247738037 
0.252606 0.00579572655 0.000256826475 
0.253350 0.00550285693 0.000251636492 
0.254094 0.00538730903 0.000245615427 
0.254838 0.00533872333 0.000243854878 
0.255582 0.00548095389 0.000240124521 
0.256327 0.00542396412 0.000238877045 
0.257071 0.00484467355 0.000228080128 
0.257815 0.00551822835 0.000240952125 
0.258559 0.00526241155 0.000232388992 
0.259303 0.00542144224 0.000240053576 
0.260047 0.00543116452 0.000240272891 
0.260791 0.00513057754 0.00023473406 
0.261535 0.00476550308 0.000223935634 
0.262279 0.00526463849 0.000233612137 
0.263023 0.00504552136 0.0002310132 
0.263767 0.00530571323 0.000238723698 
0.264511 0.00536634454 0.000234129698 
0.265255 0.00529874793 0.000238575514 
0.265999 0.00540216431 0.000240896656 
0.266743 0.0051362913 0.000232513257 
0.267487 0.00580820234 0.000246019336 
0.268231 0.00694596619 0.000269043581 
0.268975 0.0076780536 0.000287955941 
0.269719 0.00811538821 0.000296818428 
0.270464 0.00846284309 0.000294061277 
0.271208 0.0096701772 0.000319879873 
0.271952 0.00885026549 0.00030838126 
0.272696 0.00732208403 0.0002805014 
0.273440 0.00599842314 0.000248197349 
0.274184 0.00561506929 0.000244390445 
0.274928 0.00502415918 0.000231769917 
0.275672 0.00488289359 0.000227908894 
0.276416 0.00490931279 0.000227371758 
0.277160 0.00536491772 0.000238295202 
0.277904 0.00511902265 0.000235174264 
0.278648 0.00544308845 0.000241261682 
0.279392 0.00538519326 0.000234626365 
0.280136 0.00510477484 0.000233652546 
0.280880 0.00611746406 0.000254483902 
0.281624 0.00746115881 0.000283216254 
0.282368 0.00869447483 0.000306525807 
0.283112 0.00868783498 0.000300254878 
0.283856 0.00810457269 0.000294434311 
0.284601 0.00718688045 0.000277269324 
0.285345 0.00678487619 0.000268720098 
0.286089 0.0057273608 0.000246896421 
0.286833 0.00494982844 0.000229530796 
0.287577 0.00495971298 0.000228025869 
0.288321 0.00419209329 0.000210171477 
0.289065 0.00437707468 0.000217526725 
0.289809 0.00414002868 0.000210470894 
0.290553 0.00465061614 0.000222506833 
0.291297 0.00427927837 0.000213989561 
0.292041 0.00457015641 0.000218913322 
0.292785 0.00494985447 0.00023134456 
0.293529 0.00496509098 0.000228185156 
0.294273 0.00513363645 0.000235001491 
0.295017 0.00502388911 0.000231291407 
0.295761 0.00567925566 0.000242842082 
0.296505 0.00596740317 0.000252086556 
0.297249 0.00535979902 0.000237105434 
0.297994 0.00529294446 0.000238643893 
0.298738 0.00490283136 0.000227353762 
0.299482 0.00439528393 0.000216918304 
0.300226 0.00434513708 0.000212968626 
0.300970 0.00442787331 0.000217173753 
0.301714 0.00387450423 0.000204199073 
0.302458 0.00401848914 0.000206899162 
0.303202 0.00409658852 0.000209439256 
0.303946 0.00432593848 0.000210943138 
0.304690 0.00417417809 0.000212514757 
0.305434 0.00422726978 0.000213314416 
0.306178 0.00413194264 0.000208758709 
0.306922 0.00382622092 0.00020347703 
0.307666 0.00430161758 0.000213550593 
0.308410 0.00418466048 0.000209046187 
0.309154 0.0044117989 0.000217943153 
0.309898 0.00432516645 0.000214693377 
0.310642 0.0037623954 0.000202318639 
0.311386 0.00369789661 0.000198523842 
0.312131 0.00353325555 0.000193075625 
0.312875 0.00329444011 0.000188352608 
0.313619 0.00333865246 0.000187219022 
0.314363 0.00286708606 0.000174820568 
0.315107 0.00301011378 0.000180518692 
0.315851 0.00300578373 0.000179006745 
0.316595 0.0029796939 0.000177779052 
0.317339 0.0028405216 0.000174469263 
0.318083 0.00307725769 0.000181598018 
0.318827 0.00321039696 0.000185966306 
0.319571 0.00307692911 0.000180671958 
0.320315 0.00300042822 0.000177072553 
0.321059 0.00289710468 0.000177588789 
0.321803 0.00293686602 0.000177426364 
0.322547 0.00348343586 0.000194740393 
0.323291 0.00292790989 0.000177163262 
0.324035 0.00317078797 0.000182506669 
0.324779 0.00268421544 0.000168774519 
0.325524 0.00287534481 0.000176029297 
0.326268 0.00284614801 0.000175137126 
0.327012 0.0029350203 0.000176944645 
0.327756 0.002780675 0.000173118605 
0.328500 0.00269437715 0.000169977311 
0.329244 0.00329747341 0.000187564796 
0.329988 0.00290679317 0.000176558305 
0.330732 0.00287465958 0.00017558361 
0.331476 0.00275431274 0.000172760992 
0.332220 0.0029768462 0.000177775749 
0.332964 0.00308379121 0.00018094502 
0.333708 0.00290100487 0.000177774977 
0.334452 0.00296253434 0.000178267065 
0.335196 0.00271744927 0.0001720666 
0.335940 0.00286297542 0.000173483664 
0.336684 0.00290739874 0.000177525142 
0.337428 0.00266012501 0.000168507432 
0.338172 0.00250074594 0.000163385221 
0.338916 0.00257422228 0.00016748978 
0.339661 0.0029051731 0.000177015334 
0.340405 0.00321748895 0.000185338738 
0.341149 0.00298240196 0.000178443527 
0.341893 0.002753238 0.000172782185 
0.342637 0.0029358369 0.000177506549 
0.343381 0.00259998118 0.000186170415 
0.344125 0.00285236958 0.000205768479 
0.344869 0.00294524752 0.000216930653 
0.345613 0.00267452999 0.00021874419 
0.346357 0.00287866978 0.000230925796 
0.347101 0.00289999668 0.000240452894 
0.347845 0.00296105053 0.000246523909 
0.348589 0.00239167555 0.000230798957 
0.349333 0.00208353628 0.000226541561 
0.350077 0.00292352064 0.000273220387 
0.350821 0.00255073304 0.000265095828 
0.351565 0.00330752592 0.000314550147 
0.352309 0.0027891596 0.000286817221 
0.353053 0.00353888881 0.000345737025 
0.353798 0.00307627446 0.000330449552 
0.354542 0.00293445286 0.000343788057 
0.355286 0.0025976495 0.000333220109 
0.356030 0.00285121186 0.000349113204 
0.356774 0.00287873688 0.000378910522 
0.357518 0.00378920689 0.000457038827 
0.358262 0.00263174263 0.000402683047 
0.359006 0.0031678159 0.000478379034 
0.359750 0.00363253514 0.000495479913 
0.360494 0.00336136033 0.000553358625 
0.361238 0.0023961396 0.000501030812 
0.361982 0.00318091531 0.000626160177 
0.362726 0.00191223729 0.000555192213 
0.363470 0.00169755836 0.000568683519 
0.364214 0.00266040954 0.000892463624 
0.364958 0.00361186154 0.00137565934 
0.365702 -9.54464387e-06 0.000141437055 
