No  scale pct2_054.dat pct2_054.dat                                             
  0.517448E+00  0.260195E+04  0.103469E+02
  0.519638E+00  0.259447E+04  0.104042E+02
  0.521829E+00  0.259059E+04  0.103283E+02
  0.524019E+00  0.257772E+04  0.103104E+02
  0.526210E+00  0.256939E+04  0.102940E+02
  0.528400E+00  0.256243E+04  0.102723E+02
  0.530590E+00  0.255390E+04  0.102859E+02
  0.532781E+00  0.253418E+04  0.102103E+02
  0.534971E+00  0.252769E+04  0.102065E+02
  0.537162E+00  0.251706E+04  0.100979E+02
  0.539352E+00  0.250936E+04  0.101354E+02
  0.541542E+00  0.250420E+04  0.101181E+02
  0.543733E+00  0.249620E+04  0.100726E+02
  0.545923E+00  0.248590E+04  0.101106E+02
  0.548114E+00  0.247461E+04  0.100009E+02
  0.550304E+00  0.246405E+04  0.100371E+02
  0.552495E+00  0.245328E+04  0.998808E+01
  0.554685E+00  0.244459E+04  0.997736E+01
  0.556875E+00  0.243560E+04  0.994620E+01
  0.559066E+00  0.242725E+04  0.989632E+01
  0.561256E+00  0.242037E+04  0.988528E+01
  0.563447E+00  0.240984E+04  0.983792E+01
  0.565637E+00  0.240423E+04  0.986844E+01
  0.567827E+00  0.239063E+04  0.984924E+01
  0.570018E+00  0.238048E+04  0.977712E+01
  0.572208E+00  0.237077E+04  0.984392E+01
  0.574399E+00  0.236273E+04  0.970548E+01
  0.576589E+00  0.235347E+04  0.974644E+01
  0.578779E+00  0.234403E+04  0.967440E+01
  0.580970E+00  0.233863E+04  0.968984E+01
  0.583160E+00  0.233233E+04  0.970148E+01
  0.585351E+00  0.232255E+04  0.960180E+01
  0.587541E+00  0.231706E+04  0.965464E+01
  0.589731E+00  0.231120E+04  0.952380E+01
  0.591922E+00  0.229479E+04  0.960460E+01
  0.594112E+00  0.228414E+04  0.957604E+01
  0.596303E+00  0.227924E+04  0.949488E+01
  0.598493E+00  0.227238E+04  0.955332E+01
  0.600683E+00  0.226539E+04  0.941256E+01
  0.602874E+00  0.225149E+04  0.950364E+01
  0.605064E+00  0.223832E+04  0.943948E+01
  0.607255E+00  0.223760E+04  0.935352E+01
  0.609445E+00  0.223007E+04  0.945052E+01
  0.611635E+00  0.221957E+04  0.931988E+01
  0.613826E+00  0.221215E+04  0.937052E+01
  0.616016E+00  0.220519E+04  0.929288E+01
  0.618207E+00  0.219437E+04  0.929580E+01
  0.620397E+00  0.219149E+04  0.931368E+01
  0.622587E+00  0.217836E+04  0.924628E+01
  0.624778E+00  0.217638E+04  0.928708E+01
  0.626968E+00  0.216191E+04  0.920160E+01
  0.629159E+00  0.214919E+04  0.917956E+01
  0.631349E+00  0.214691E+04  0.922964E+01
  0.633540E+00  0.212960E+04  0.912624E+01
  0.635730E+00  0.212559E+04  0.919004E+01
  0.637920E+00  0.212333E+04  0.910368E+01
  0.640111E+00  0.210868E+04  0.912740E+01
  0.642301E+00  0.210629E+04  0.908152E+01
  0.644492E+00  0.209904E+04  0.904012E+01
  0.646682E+00  0.209284E+04  0.907808E+01
  0.648872E+00  0.208262E+04  0.901136E+01
  0.651063E+00  0.207626E+04  0.901916E+01
  0.653253E+00  0.206512E+04  0.897684E+01
  0.655444E+00  0.205938E+04  0.896092E+01
  0.657634E+00  0.205102E+04  0.899436E+01
  0.659824E+00  0.204774E+04  0.891900E+01
  0.662015E+00  0.203470E+04  0.894112E+01
  0.664205E+00  0.202217E+04  0.885716E+01
  0.666396E+00  0.201186E+04  0.889144E+01
  0.668586E+00  0.200393E+04  0.888120E+01
  0.670776E+00  0.199838E+04  0.880256E+01
  0.672967E+00  0.199245E+04  0.878004E+01
  0.675157E+00  0.198982E+04  0.880680E+01
  0.677348E+00  0.198422E+04  0.884072E+01
  0.679538E+00  0.197099E+04  0.875204E+01
  0.681728E+00  0.196573E+04  0.871480E+01
  0.683919E+00  0.195613E+04  0.875024E+01
  0.686109E+00  0.194714E+04  0.868112E+01
  0.688300E+00  0.194202E+04  0.876168E+01
  0.690490E+00  0.192741E+04  0.861388E+01
  0.692680E+00  0.191844E+04  0.869340E+01
  0.694871E+00  0.192031E+04  0.861132E+01
  0.697061E+00  0.191261E+04  0.862660E+01
  0.699252E+00  0.190481E+04  0.861440E+01
  0.701442E+00  0.189783E+04  0.849720E+01
  0.703633E+00  0.188346E+04  0.860108E+01
  0.705823E+00  0.187446E+04  0.853128E+01
  0.708013E+00  0.186827E+04  0.853988E+01
  0.710204E+00  0.186719E+04  0.851648E+01
  0.712394E+00  0.186150E+04  0.842516E+01
  0.714585E+00  0.185540E+04  0.852508E+01
  0.716775E+00  0.184658E+04  0.841832E+01
