Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
  7.419250e-01   8.802055e+02   1.359041e+01
  7.446890e-01   9.608443e+02   1.355250e+01
  7.474540e-01   9.460364e+02   1.345095e+01
  7.502180e-01   9.674130e+02   1.362746e+01
  7.529820e-01   1.023163e+03   1.351470e+01
  7.557460e-01   1.047864e+03   1.350353e+01
  7.585110e-01   1.055683e+03   1.352967e+01
  7.612750e-01   1.078408e+03   1.345632e+01
  7.640390e-01   1.071927e+03   1.354324e+01
  7.668030e-01   1.106121e+03   1.335953e+01
  7.695680e-01   1.149273e+03   1.344304e+01
  7.723320e-01   1.154115e+03   1.346040e+01
  7.750960e-01   1.169260e+03   1.344360e+01
  7.778600e-01   1.182314e+03   1.351071e+01
  7.806240e-01   1.194815e+03   1.328656e+01
  7.833890e-01   1.236098e+03   1.343943e+01
  7.861530e-01   1.247178e+03   1.335027e+01
  7.889170e-01   1.250220e+03   1.337780e+01
  7.916810e-01   1.267811e+03   1.334620e+01
  7.944460e-01   1.291412e+03   1.330978e+01
  7.972100e-01   1.332167e+03   1.341317e+01
  7.999740e-01   1.321862e+03   1.331011e+01
  8.027380e-01   1.316629e+03   1.330613e+01
  8.055030e-01   1.338457e+03   1.348100e+01
  8.082670e-01   1.359336e+03   1.371379e+01
  8.110310e-01   1.361843e+03   1.385898e+01
  8.137950e-01   1.359735e+03   1.381677e+01
  8.165590e-01   1.383944e+03   1.404163e+01
  8.193240e-01   1.409715e+03   1.400207e+01
  8.220880e-01   1.417679e+03   1.410455e+01
  8.248520e-01   1.440789e+03   1.425411e+01
  8.276160e-01   1.436793e+03   1.410253e+01
  8.303810e-01   1.446464e+03   1.433737e+01
  8.331450e-01   1.449172e+03   1.417876e+01
  8.359090e-01   1.457031e+03   1.442257e+01
  8.386730e-01   1.458791e+03   1.440181e+01
  8.414380e-01   1.458195e+03   1.433033e+01
  8.442020e-01   1.460420e+03   1.454071e+01
  8.469660e-01   1.454521e+03   1.437769e+01
  8.497300e-01   1.455456e+03   1.464902e+01
  8.524940e-01   1.472469e+03   1.449033e+01
  8.552590e-01   1.443941e+03   1.461257e+01
  8.580230e-01   1.473317e+03   1.460363e+01
  8.607870e-01   1.472396e+03   1.452280e+01
  8.635510e-01   1.480270e+03   1.472359e+01
  8.663160e-01   1.481669e+03   1.434164e+01
  8.690800e-01   1.471979e+03   1.418750e+01
  8.718440e-01   1.460167e+03   1.411430e+01
  8.746080e-01   1.462990e+03   1.384851e+01
  8.773730e-01   1.434491e+03   1.398195e+01
  8.801370e-01   1.472945e+03   1.376910e+01
  8.829010e-01   1.442225e+03   1.383210e+01
  8.856650e-01   1.462395e+03   1.364329e+01
  8.884290e-01   1.427627e+03   1.367539e+01
  8.911940e-01   1.421383e+03   1.361995e+01
  8.939580e-01   1.459208e+03   1.355369e+01
  8.967220e-01   1.418771e+03   1.357182e+01
  8.994860e-01   1.430730e+03   1.341418e+01
  9.022510e-01   1.440285e+03   1.350726e+01
  9.050150e-01   1.431471e+03   1.344476e+01
  9.077790e-01   1.369520e+03   1.336938e+01
  9.105430e-01   1.377317e+03   1.333949e+01
  9.133080e-01   1.366603e+03   1.325028e+01
  9.160720e-01   1.348114e+03   1.340323e+01
  9.188360e-01   1.299714e+03   1.350748e+01
  9.216000e-01   1.339410e+03   1.352920e+01
  9.243650e-01   1.312983e+03   1.380850e+01
  9.271290e-01   1.312190e+03   1.369366e+01
  9.298930e-01   1.309645e+03   1.392175e+01
  9.326570e-01   1.284473e+03   1.382000e+01
  9.354210e-01   1.287838e+03   1.398173e+01
  9.381860e-01   1.245508e+03   1.398926e+01
  9.409500e-01   1.230137e+03   1.391918e+01
  9.437140e-01   1.246898e+03   1.413040e+01
  9.464780e-01   1.220032e+03   1.391580e+01
  9.492430e-01   1.184532e+03   1.391600e+01
  9.520070e-01   1.177419e+03   1.352871e+01
  9.547710e-01   1.191948e+03   1.337928e+01
  9.575350e-01   1.156515e+03   1.341054e+01
  9.603000e-01   1.146030e+03   1.318923e+01
  9.630640e-01   1.128514e+03   1.317745e+01
  9.658280e-01   1.105437e+03   1.306782e+01
  9.685920e-01   1.091399e+03   1.301695e+01
  9.713560e-01   1.081621e+03   1.309000e+01
  9.741210e-01   1.049712e+03   1.293341e+01
  9.768850e-01   1.022157e+03   1.307536e+01
  9.796490e-01   1.026860e+03   1.286260e+01
  9.824130e-01   1.000692e+03   1.292961e+01
  9.851780e-01   9.733110e+02   1.289471e+01
  9.879420e-01   9.488757e+02   1.275729e+01
  9.907060e-01   9.460252e+02   1.282488e+01
  9.934700e-01   9.180944e+02   1.263909e+01
  9.962350e-01   9.161918e+02   1.272707e+01
  9.989990e-01   9.050034e+02   1.260878e+01
  1.001760e+00   8.693481e+02   1.256591e+01
  1.004530e+00   8.663028e+02   1.259652e+01
  1.007290e+00   8.488824e+02   1.250763e+01
  1.010060e+00   8.107634e+02   1.255226e+01
  1.012820e+00   7.907090e+02   1.246205e+01
  1.015580e+00   7.825166e+02   1.243219e+01
  1.018350e+00   7.755686e+02   1.253168e+01
  1.021110e+00   7.582760e+02   1.230881e+01
