
Sample:   c= 0 mg/ml  Code: 
 1.191280e-001  8.645085e-003  4.282207e-004
 1.195180e-001  8.431972e-003  4.302219e-004
 1.199080e-001  8.326990e-003  4.235410e-004
 1.202970e-001  8.165215e-003  4.164665e-004
 1.206870e-001  9.073031e-003  4.212072e-004
 1.210770e-001  8.338125e-003  4.158814e-004
 1.214670e-001  8.045180e-003  4.064197e-004
 1.218570e-001  8.198018e-003  4.132241e-004
 1.222470e-001  8.172112e-003  4.081771e-004
 1.226360e-001  7.484041e-003  4.068803e-004
 1.230260e-001  8.209332e-003  4.078773e-004
 1.234160e-001  7.570200e-003  4.089819e-004
 1.238060e-001  7.415709e-003  4.019685e-004
 1.241960e-001  7.328435e-003  4.024639e-004
 1.245850e-001  6.963037e-003  4.051679e-004
 1.249750e-001  7.197543e-003  4.041462e-004
 1.253650e-001  7.792503e-003  4.035794e-004
 1.257550e-001  7.408871e-003  4.034994e-004
 1.261450e-001  7.039605e-003  3.980424e-004
 1.265350e-001  6.676624e-003  3.982763e-004
 1.269240e-001  6.469324e-003  4.022837e-004
 1.273140e-001  6.765641e-003  3.969916e-004
 1.277040e-001  6.895468e-003  3.938573e-004
 1.280940e-001  6.215570e-003  4.036894e-004
 1.284840e-001  7.185723e-003  4.121592e-004
 1.288730e-001  6.878841e-003  4.073214e-004
 1.292630e-001  6.111792e-003  4.007473e-004
 1.296530e-001  6.068901e-003  4.152437e-004
 1.300430e-001  6.271595e-003  4.164841e-004
 1.304330e-001  6.100972e-003  4.018688e-004
 1.308220e-001  6.516227e-003  4.135756e-004
 1.312120e-001  6.104698e-003  4.086130e-004
 1.316020e-001  6.067887e-003  4.137269e-004
 1.319920e-001  5.997796e-003  4.088486e-004
 1.323820e-001  5.867343e-003  4.078163e-004
 1.327710e-001  6.014149e-003  4.105382e-004
 1.331610e-001  5.570923e-003  4.054968e-004
 1.335510e-001  5.959549e-003  3.965031e-004
 1.339410e-001  6.115002e-003  4.113955e-004
 1.343300e-001  5.355352e-003  4.000879e-004
 1.347200e-001  5.674407e-003  4.005512e-004
 1.351100e-001  5.444082e-003  4.027672e-004
 1.355000e-001  5.656939e-003  4.063854e-004
 1.358900e-001  5.333189e-003  4.014002e-004
 1.362790e-001  5.290463e-003  4.057175e-004
 1.366690e-001  5.385152e-003  4.019981e-004
 1.370590e-001  5.214020e-003  4.064978e-004
 1.374490e-001  5.264217e-003  4.042936e-004
 1.378390e-001  5.037747e-003  4.034970e-004
 1.382280e-001  4.643513e-003  3.956696e-004
 1.386180e-001  5.217507e-003  4.000822e-004
 1.390080e-001  4.367202e-003  3.988051e-004
 1.393980e-001  4.618625e-003  3.940253e-004
 1.397870e-001  5.021170e-003  4.049965e-004
 1.401770e-001  4.903474e-003  4.008389e-004
 1.405670e-001  4.932581e-003  3.943883e-004
 1.409570e-001  4.871746e-003  4.038979e-004
 1.413460e-001  4.523976e-003  3.974404e-004
 1.417360e-001  4.947192e-003  4.014160e-004
 1.421260e-001  4.676778e-003  4.027210e-004
 1.425160e-001  4.553791e-003  3.941279e-004
 1.429050e-001  4.286386e-003  3.975874e-004
 1.432950e-001  3.922340e-003  3.938164e-004
 1.436850e-001  4.861238e-003  4.018464e-004
 1.440750e-001  4.141797e-003  3.959742e-004
 1.444640e-001  4.256906e-003  4.030495e-004
 1.448540e-001  4.613369e-003  4.085869e-004
 1.452440e-001  4.232894e-003  4.019073e-004
 1.456340e-001  3.966739e-003  4.108432e-004
 1.460230e-001  4.278768e-003  4.104351e-004
 1.464130e-001  4.035877e-003  4.061086e-004
 1.468030e-001  4.148355e-003  4.109072e-004
 1.471930e-001  4.406661e-003  4.143899e-004
 1.475820e-001  3.581013e-003  4.174638e-004
 1.479720e-001  3.852873e-003  4.115393e-004
 1.483620e-001  3.353048e-003  4.137072e-004
 1.487520e-001  3.581456e-003  4.143608e-004
 1.491410e-001  4.260382e-003  4.228725e-004
 1.495310e-001  3.401535e-003  4.182086e-004
 1.499210e-001  3.584936e-003  4.138600e-004
 1.503110e-001  3.378059e-003  4.191693e-004
 1.507000e-001  3.495666e-003  4.161512e-004
 1.510900e-001  3.713526e-003  4.226892e-004
 1.514800e-001  3.090739e-003  4.124009e-004
 1.518700e-001  3.209274e-003  4.192444e-004
 1.522590e-001  3.631116e-003  4.197784e-004
 1.526490e-001  3.526062e-003  4.195389e-004
 1.530390e-001  3.890049e-003  4.230486e-004
 1.534280e-001  2.621187e-003  4.182941e-004
 1.538180e-001  3.475243e-003  4.275369e-004
 1.542080e-001  3.481201e-003  4.228222e-004
 1.545980e-001  3.762829e-003  4.174212e-004
 1.549870e-001  3.048443e-003  4.236583e-004
 1.553770e-001  3.463024e-003  4.221481e-004
 1.557670e-001  3.653127e-003  4.237753e-004
 1.561560e-001  3.677937e-003  4.233505e-004
 1.565460e-001  3.629978e-003  4.206729e-004
 1.569360e-001  2.924981e-003  4.222883e-004
 1.573260e-001  3.013126e-003  4.249236e-004
 1.577150e-001  3.592906e-003  4.178283e-004
 1.581050e-001  2.995224e-003  4.197518e-004
 1.584950e-001  2.418550e-003  4.179308e-004
 1.588840e-001  3.327016e-003  4.193408e-004
 1.592740e-001  2.975883e-003  4.235719e-004
 1.596640e-001  2.797217e-003  4.270436e-004
 1.600530e-001  3.171876e-003  4.238773e-004
 1.604430e-001  2.706304e-003  4.256359e-004
 1.608330e-001  3.043707e-003  4.238880e-004
 1.612230e-001  3.158551e-003  4.239787e-004
 1.616120e-001  2.792244e-003  4.282152e-004
 1.620020e-001  2.996141e-003  4.294484e-004
 1.623920e-001  2.700775e-003  4.338689e-004
 1.627810e-001  2.900581e-003  4.268777e-004
 1.631710e-001  3.091042e-003  4.302576e-004
 1.635610e-001  3.027307e-003  4.278541e-004
 1.639500e-001  2.790986e-003  4.277730e-004
 1.643400e-001  2.743583e-003  4.327579e-004
 1.647300e-001  2.499146e-003  4.326561e-004
 1.651190e-001  3.143998e-003  4.278797e-004
 1.655090e-001  3.107750e-003  4.231989e-004
