q	I(q)	SD
0.30769	0.47663	0.68625
0.30805	2.62632	0.65395
0.3085	2.01565	0.68613
0.30895	0.0267	0.68345
0.3094	0.53072	0.6817
0.30981	1.45139	0.65136
0.3102	1.58206	0.68415
0.31066	1.11502	0.68213
0.31111	1.46173	0.68416
0.31156	0.92313	0.68209
0.31193	-0.1694	0.64219
0.31236	0.92359	0.68536
0.31282	1.03329	0.68786
0.31327	1.87509	0.69203
0.31369	0.60547	0.64062
0.31407	1.80819	0.68765
0.31452	1.16702	0.68866
0.31498	0.08288	0.69698
0.31543	0.26251	0.70081
0.31581	1.09875	0.64394
0.31623	1.04818	0.69309
0.31668	0.31511	0.69255
0.31713	1.89035	0.69887
0.31757	0.863	0.65196
0.31794	0.84753	0.70138
0.31839	1.98795	0.70339
0.31884	1.09467	0.70214
0.3193	2.58668	0.69877
0.31969	2.53047	0.6652
0.3201	1.34373	0.69418
0.32055	1.59882	0.69392
0.321	0.44589	0.69873
0.32145	1.89121	0.66429
0.32181	1.23277	0.70103
0.32226	1.40749	0.69977
0.32271	1.1218	0.70484
0.32316	0.22699	0.69765
0.32356	1.40553	0.66182
0.32397	1.20659	0.70066
0.32442	1.09462	0.7023
0.32487	1.00753	0.7027
0.32532	1.83065	0.71412
