'Name'	'SASDBP9.dat'	'SASDBP9.dat'
'Type; q:'	'I(q)'	'I(q) sd'
0.0297544	3697.97	43.9824
0.0300299	3654.67	44.1044
0.0303055	3671.85	43.4771
0.030581	3651.76	43.3217
0.0308565	3615.86	42.1172
0.031132	3669.38	43.0965
0.0314075	3565.45	42.2529
0.031683	3493.51	41.0712
0.0319585	3508.7	41.8123
0.032234	3514.73	41.9211
0.0325095	3418.85	41.0773
0.032785	3402.1	40.5228
0.0330605	3375.7	40.2903
0.033336	3363.53	40.3809
0.0336115	3295.16	40.3627
0.033887	3247.13	39.2665
0.0341625	3270.82	38.2466
0.034438	3300.14	40.0661
0.0347135	3193.98	38.2495
0.034989	3209.29	39.5705
0.0352645	3179.49	38.024
0.03554	3159.68	37.6792
0.0358155	3130.76	38.4395
0.036091	3029.71	36.9049
0.0363665	3050.98	37.6763
0.036642	2956.94	36.0399
0.0369175	2972.91	36.4266
0.0371931	2977.67	37.498
0.0374686	2910.3	35.5388
0.0377441	2909.28	36.0112
0.0380196	2889.83	35.5212
0.0382951	2847.65	35.5039
0.0385706	2843.23	35.7818
0.0388461	2804.62	34.3802
0.0391216	2770.4	35.0569
0.0393971	2766.08	34.5659
0.0396726	2768.55	34.535
0.0399481	2688.76	33.9192
0.0402236	2657.6	33.2524
0.0404991	2604.83	33.6343
0.0407746	2661.35	33.8701
0.0410501	2623.75	33.014
0.0413256	2619.9	33.0669
0.0416011	2564.39	32.7724
0.0418766	2590.91	33.3861
0.0421521	2562.6	32.3436
0.0424276	2463.31	32.6038
0.0427031	2438.09	31.8954
0.0429786	2453.62	32.8126
0.0432541	2401.21	32.49
0.0435296	2394.42	31.9187
0.0438051	2360.67	32.7739
0.0440807	2289.35	31.9311
0.0443562	2322.07	32.1426
0.0446317	2358.51	31.5728
0.0449072	2272.02	31.8239
0.0451827	2200.04	32.0953
0.0454582	2238.31	31.5045
0.0457337	2192.28	31.0482
0.0460092	2206.1	30.3748
0.0462847	2178.61	32.2063
0.0465602	2111.77	32.3358
0.0468357	2141.35	31.6156
0.0471112	2100.85	32.1727
0.0473867	2101.45	32.2368
0.0476622	2003.21	32.4658
0.0479377	2047.55	31.9797
0.0482132	2097.17	32.508
0.0484887	2021.6	32.9229
0.0487642	1969.17	32.0281
0.0490397	1984.78	32.8887
0.0493152	1934.88	31.9121
0.0495907	1886.1	32.2036
0.0498662	1939.22	32.8921
0.0501417	1869.08	31.9985
0.0504172	1880.03	32.1444
0.0506927	1862	31.9515
0.0509683	1788.52	32.6152
0.0512438	1833.66	32.3974
0.0515193	1799.26	31.7911
0.0517948	1775.78	32.3209
0.0520703	1724.98	30.1999
0.0523458	1786.29	30.5162
0.0526213	1715.24	29.5703
0.0528968	1699.31	28.9848
0.0531723	1721.37	29.403
0.0534478	1726.29	28.4107
0.0537233	1674.47	28.6377
0.0539988	1687.4	28.0449
0.0542743	1615.73	27.5493
0.0545498	1633.97	27.8528
0.0548253	1640.84	27.395
0.0551008	1635.99	27.6843
0.0553763	1591.55	26.6539
0.0556518	1537.57	26.9411
0.0559273	1604.54	27.1791
0.0562028	1518.32	25.9511
0.0564783	1473.03	26.2693
0.0567538	1520.64	25.6934
0.0570293	1532.27	26.4365
0.0573048	1507.2	25.8317
0.0575803	1442.9	25.3774
0.0578559	1464.98	25.6109
0.0581314	1452.99	25.3229
0.0584069	1436.05	24.9626
0.0586824	1461.11	25.1019
0.0589579	1399.43	24.8233
0.0592334	1406.63	24.8361
0.0595089	1424.98	24.9666
0.0597844	1376.18	24.3104
0.0600599	1398.04	24.3249
0.0603354	1313.47	24.1201
0.0606109	1343.51	24.1281
0.0608864	1352.39	23.9282
0.0611619	1306.75	23.6062
0.0614374	1295.66	23.4346
0.0617129	1302.37	23.8506
0.0619884	1278.55	23.2717
0.0622639	1262.98	23.4083
0.0625394	1270.82	23.1172
0.0628149	1222.41	22.998
0.0630904	1226.25	22.5526
0.0633659	1247.98	22.3981
0.0636414	1250.92	23.0795
0.0639169	1222.4	22.5721
0.0641924	1216.89	22.4961
0.0644679	1169.85	21.9329
0.0647435	1147.95	21.6763
0.065019	1166.86	22.1381
0.0652945	1140.5	21.7883
0.06557	1120.88	21.3632
0.0658455	1152.55	21.9322
0.066121	1143.92	21.472
0.0663965	1132.31	21.721
0.066672	1117.41	21.1365
0.0669475	1086.81	20.9394
0.067223	1119.2	21.4117
0.0674985	1089.97	21.1208
0.067774	1049.91	21.1624
0.0680495	1072.78	20.7261
0.068325	1053.54	20.908
0.0686005	1026.27	21.0808
0.068876	1024.84	20.8075
0.0691515	1037.8	20.6926
0.069427	1016.04	20.7396
0.0697025	1040.61	20.5607
0.069978	1004.23	20.4557
0.0702535	1019.1	20.2537
0.070529	998.138	20.1602
0.0708045	932.976	20.1456
0.07108	988.719	20.1926
0.0713555	987.048	20.1066
0.0716311	980.087	19.9572
0.0719066	914.072	19.7021
0.0721821	935.53	19.7282
0.0724576	944.888	19.7106
0.0727331	924.977	19.6743
0.0730086	897.33	19.522
0.0732841	884.186	19.1198
0.0735596	905.005	19.4254
0.0738351	856.231	19.0991
0.0741106	911.204	19.2382
0.0743861	900.616	19.3871
0.0746616	873.566	19.1285
0.0749371	869.044	18.8979
0.0752126	911.182	19.0016
0.0754881	870.737	19.0209
0.0757636	875.591	19.0602
